,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,enrollment,budget_year
197,7th,5410,Elementary School,88.33%,1.0,11.2,2.0,0.5,0.2,0.0,1.0,0.0,1.0,0.0,16.9,24072.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.2,74091.0,272.0,FY14
198,1st,2690,K‐8 School,75.63%,1.0,22.4,6.0,1.5,1.0,6.0,1.0,0.0,4.0,0.0,42.9,16589.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.8,127868.0,478.0,FY14
199,4th,6480,Middle School,61.51%,1.0,12.5,2.0,0.5,0.2,4.0,1.0,0.0,1.0,0.0,22.2,23152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15652.0,285.0,FY14
200,2nd,2320,Elementary School,82.66%,1.0,21.6,3.0,1.6,0.8,1.0,1.0,0.0,5.0,0.0,35.0,9756.0,0.0,6.9,0.0,0.8,0.0,0.0,0.0,8.0,0.0,0.0,15.7,228414.0,593.0,FY14
201,1st,5210,K‐8 School,79.49%,1.0,27.6,7.0,1.8,0.4,9.0,1.0,0.0,5.0,0.0,52.8,21734.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,251293.0,604.0,FY14
202,10th,8370,Elementary School,42.74%,1.0,21.0,6.0,1.0,0.4,13.0,1.0,0.0,3.0,0.0,46.4,30287.0,0.0,2.8,0.0,0.2,0.0,0.0,0.0,2.0,0.0,0.0,5.0,74346.0,493.0,FY14
203,8th,5500,K‐8 School,80.68%,1.0,30.3,12.0,1.6,1.0,18.0,1.0,1.0,5.0,0.0,70.9,31545.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,106773.0,689.0,FY14
204,3rd,1340,K‐8 School,73.08%,1.0,25.7,7.0,1.2,1.0,11.0,1.0,0.0,4.0,0.0,51.9,96081.0,0.0,7.7,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,8.1,164294.0,581.0,FY14
205,5th,5150,High School,61.74%,1.0,22.5,1.0,1.0,0.4,5.0,1.0,0.0,4.0,0.0,35.9,21329.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,40684.0,494.0,FY14
206,10th,8030,High School,52.46%,3.0,69.8,22.0,1.4,2.0,15.0,2.0,0.0,11.0,0.0,126.2,47393.0,0.0,1.6,0.0,0.6,0.0,11.0,0.0,2.0,0.0,0.0,15.2,29985.0,1686.0,FY14
207,3rd,8460,High School,85.44%,1.0,11.2,4.0,2.0,0.2,0.0,2.0,0.0,7.0,1.0,28.4,148302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37607.0,0.0,FY14
208,8th,6390,K‐8 School,85.09%,1.0,21.2,3.0,1.0,0.5,0.0,1.0,0.0,3.0,0.0,30.7,31707.0,0.0,5.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.8,162020.0,544.0,FY14
209,8th,6270,K‐8 School,39.44%,1.0,20.8,5.0,1.0,1.0,5.0,1.0,0.0,3.0,0.0,37.8,27242.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.8,70388.0,501.0,FY14
210,10th,8260,Elementary School,50.60%,1.0,18.9,3.0,1.0,0.4,5.0,1.0,0.0,4.0,0.0,34.3,15318.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.8,77147.0,460.0,FY14
211,1st,5300,Elementary School,72.43%,1.0,13.0,8.0,1.0,1.0,17.0,1.0,1.0,3.0,0.0,46.0,23184.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,7.2,38961.0,342.0,FY14
212,10th,8380,K‐8 School,65.08%,1.0,40.6,9.0,2.6,1.0,16.0,2.0,0.0,7.0,0.0,79.2,34993.0,0.0,5.9,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,8.5,96099.0,998.0,FY14
213,8th,6470,Elementary School,85.17%,1.0,23.6,9.0,1.0,0.6,14.0,1.0,8.0,5.0,0.0,63.2,34729.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.4,157277.0,685.0,FY14
214,9th,7320,Elementary School,81.93%,1.0,10.6,4.0,1.0,0.2,3.0,1.0,0.0,2.0,0.0,22.8,5158.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,89601.0,268.0,FY14
