,Council District,Economically Disadvantaged Rate,Organization Code,School Level,budget_year,enrollment,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Other,grant_fund: Principals/Assistant Principals,grant_fund: Secretaries,grant_fund: Student Climate Staff,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Support Services Assistants,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Total Positions,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Other,operating_fund: Principals/Assistant Principals,operating_fund: Secretaries,operating_fund: Student Climate Staff,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,operating_fund: Support Services Assistants,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Total Positions,projected_enrollment
66,7th,83.65%,5170,K‐8 School,FY19,,0.0,2.0,0.0,0.0,0.0,0.0,14.0,40535.0,3.0,5.4,0.0,24.4,23.0,0.0,2.2,0.0,2.0,1.0,0.0,107598.0,1.0,44.1,13.0,86.3,925.0
67,3rd,83.60%,1360,K‐8 School,FY19,,0.0,0.0,0.0,0.6,1.0,0.0,5.0,189177.0,2.0,5.2,0.0,13.8,12.0,3.0,2.0,1.4,1.0,1.0,0.0,35753.0,0.0,18.0,7.0,45.4,381.0
68,6th,67.78%,8010,High School,FY19,,0.0,3.6,0.0,1.0,0.4,0.0,7.0,139011.0,2.0,12.4,0.0,26.4,28.0,7.8,1.4,0.0,3.6,3.0,0.0,207114.0,0.0,81.7,25.0,150.5,1832.0
69,3rd,27.57%,1280,K‐8 School,FY19,,0.0,0.2,0.0,0.0,1.0,0.0,1.0,521227.0,1.0,11.2,0.0,14.4,6.0,1.2,1.0,0.0,1.0,1.0,4.0,63693.0,0.0,26.4,2.0,42.6,593.0
70,3rd,66.78%,5090,High School,FY19,,0.0,0.5,0.0,0.0,0.0,0.0,3.0,15929.0,0.0,1.2,0.0,4.7,4.0,1.0,0.5,0.0,1.0,1.0,1.0,87638.0,0.0,14.8,3.0,26.3,345.0
71,5th,88.75%,4270,K‐8 School,FY19,,0.0,2.0,0.0,0.0,0.4,0.0,6.0,6323.0,5.9,3.4,0.0,17.7,3.0,0.0,1.0,0.0,1.6,1.0,0.0,43977.0,0.1,20.8,6.0,33.5,494.0
72,10th,59.82%,8440,Elementary School,FY19,,0.0,1.6,0.0,0.0,0.0,0.0,8.0,7015.0,1.0,6.9,0.0,17.5,18.0,0.8,3.0,0.0,2.0,2.0,0.0,125027.0,0.0,39.1,11.0,76.0,885.0
73,7th,78.88%,7150,K‐8 School,FY19,,0.0,2.6,0.0,0.0,0.5,0.0,8.0,39558.0,4.0,10.4,0.0,25.4,4.0,1.8,1.1,0.0,1.5,2.0,0.0,210161.0,0.0,48.0,8.0,66.5,1078.0
74,7th,76.42%,7500,Middle School,FY19,,0.0,1.4,0.0,0.0,0.0,0.0,4.0,47801.0,3.0,1.8,0.3,10.5,9.0,1.6,1.0,1.0,1.0,1.0,2.0,378446.0,2.0,35.5,7.7,61.8,622.0
75,2nd,32.07%,2410,Middle Secondary,FY19,,0.0,0.9,0.0,0.0,0.0,0.0,0.0,13834.0,1.0,0.0,0.0,1.9,0.0,1.3,1.0,0.4,1.0,1.0,4.0,97973.0,0.0,29.1,2.0,39.8,628.0
76,8th,46.15%,6250,K‐8 School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10675.0,0.0,2.6,0.0,8.6,17.0,1.0,1.0,0.0,1.0,1.0,0.0,127603.0,0.0,23.0,7.0,51.0,472.0
77,4th,49.10%,6540,High School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26590.0,0.0,0.2,0.0,4.2,4.0,1.0,1.0,0.0,1.0,1.0,0.0,108088.0,0.0,15.0,4.0,27.0,355.0
78,3rd,77.59%,1020,High School,FY19,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,213644.0,0.0,3.4,0.0,4.4,17.0,3.0,1.0,1.0,2.0,1.0,5.0,89464.0,0.0,19.8,13.0,62.8,437.0
79,7th,72.84%,5230,Middle School,FY19,,0.0,0.1,0.0,1.0,0.0,0.0,0.0,4135.0,0.3,1.1,0.0,2.5,4.0,1.1,1.0,0.0,2.0,1.0,1.0,25649.0,1.7,17.7,2.0,31.5,374.0
80,4th,57.35%,4480,K‐8 School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2301.0,0.0,2.9,0.0,2.9,16.0,1.0,1.0,0.0,1.0,1.0,0.0,69499.0,0.0,14.1,10.0,44.1,266.0
81,7th,79.92%,5660,High School,FY19,,0.0,2.2,0.0,0.0,0.0,0.0,0.0,4154.0,0.0,0.8,0.0,3.0,0.0,1.2,0.5,0.0,2.0,1.0,1.0,107367.0,0.0,13.2,2.0,20.9,286.0
82,3rd,86.80%,1470,K‐8 School,FY19,,0.0,2.1,0.0,1.0,0.0,0.0,2.5,30742.0,0.0,7.2,0.0,12.8,10.0,1.1,1.0,0.0,1.0,1.0,0.5,36875.0,0.0,21.0,6.0,41.6,440.0
83,5th,87.31%,4560,K‐8 School,FY19,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,44662.0,5.0,5.4,0.0,13.4,10.0,1.0,1.0,0.0,1.0,1.0,0.0,106448.0,0.0,16.8,5.0,35.8,351.0
84,7th,75.09%,8350,K‐8 School,FY19,,0.0,3.7,0.0,0.0,0.0,0.0,2.0,130081.0,17.0,8.2,0.0,30.9,18.0,4.1,3.6,1.0,2.0,2.0,7.0,203984.0,1.0,58.1,10.0,106.8,1392.0
85,8th,85.84%,6340,Elementary School,FY19,,0.0,0.2,0.0,0.8,0.0,0.0,6.0,4551.0,4.0,7.7,0.0,18.7,3.0,1.0,1.0,0.0,1.0,1.0,3.0,87376.0,0.0,17.4,3.0,30.4,451.0
86,3rd,62.01%,1390,Elementary School,FY19,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2638.0,0.0,3.2,0.0,4.2,0.0,2.0,1.0,0.0,1.0,1.0,4.0,25022.0,3.0,11.6,2.0,25.6,259.0
87,8th,88.51%,4360,K‐8 School,FY19,,0.0,1.3,0.0,0.0,0.0,0.0,0.0,121563.0,0.0,5.6,0.0,6.9,11.0,0.7,1.0,1.2,2.0,1.0,3.0,138476.0,1.0,21.5,7.0,49.4,463.0
88,1st,80.63%,5060,High School,FY19,,0.0,6.2,0.0,0.0,1.0,0.0,4.0,52867.0,0.0,3.0,0.0,14.2,0.0,0.2,1.0,1.0,2.0,1.0,0.0,161943.0,0.0,47.0,6.0,58.2,926.0
89,4th,68.17%,4280,Elementary School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59614.0,4.0,5.0,0.0,10.0,13.0,1.0,1.0,0.0,1.0,1.0,3.0,32899.0,0.0,16.3,6.0,42.3,308.0
90,6th,75.06%,5430,Middle School,FY19,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,76249.0,0.0,0.1,0.0,2.1,3.0,0.0,1.0,0.0,1.0,1.0,6.0,76247.0,0.0,21.2,4.0,37.2,450.0
91,1st,76.75%,2630,K‐8 School,FY19,,0.0,0.8,0.0,1.0,0.0,0.0,4.0,50050.0,0.0,4.7,0.0,10.5,17.0,0.8,2.0,0.0,1.0,1.0,0.0,84653.0,1.0,23.5,11.0,57.3,550.0
92,7th,84.89%,7290,K‐8 School,FY19,,1.9,2.1,0.0,1.0,0.0,0.0,0.0,18814.0,3.0,6.2,0.0,14.2,4.1,1.1,1.0,0.0,1.0,1.0,0.0,29248.0,0.0,24.9,5.0,38.1,501.0
93,2nd,80.86%,2260,K‐8 School,FY19,,0.0,1.3,0.0,0.0,0.0,0.0,5.0,40162.0,0.0,4.4,0.0,10.7,13.0,1.5,2.0,0.0,1.0,1.0,0.0,140498.0,0.0,24.0,11.0,53.5,477.0
94,1st,15.13%,2380,K‐8 School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.0,3.4,3.0,0.0,6.4,5.0,1.0,1.0,0.0,1.0,1.0,6.0,67081.0,1.6,24.9,3.0,44.5,573.0
95,9th,74.31%,7370,Middle School,FY19,,0.0,0.1,0.0,0.0,0.0,0.0,3.0,58792.0,5.0,2.5,0.0,10.6,16.0,3.1,1.0,0.0,1.0,1.0,0.0,138273.0,0.0,27.1,9.0,58.2,560.0
96,10th,64.49%,8230,Elementary School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7458.0,2.0,2.6,0.0,8.6,5.0,1.0,1.0,0.0,1.0,1.0,0.0,41608.0,1.0,15.3,2.0,27.3,351.0
97,1st,83.01%,5700,High School,FY19,,0.0,2.2,0.0,1.0,1.0,0.0,3.0,14886.0,0.0,3.6,0.0,10.7,11.0,1.2,1.0,0.0,2.0,2.0,1.0,232863.0,0.0,29.7,11.0,58.9,572.0
98,7th,85.71%,5350,K‐8 School,FY19,,0.0,0.2,0.0,0.0,0.0,0.0,4.0,111242.0,3.0,4.8,0.0,12.0,13.0,1.2,1.0,0.0,1.0,1.0,1.0,62558.0,2.0,22.1,7.0,49.3,445.0
99,9th,68.40%,7120,High School,FY19,,0.0,2.4,0.0,0.0,0.0,0.0,9.0,65481.0,0.0,3.9,0.0,15.3,13.0,2.6,1.2,0.0,3.0,2.0,0.0,175093.0,0.0,45.7,14.0,81.5,1004.0
100,1st,75.45%,2580,K‐8 School,FY19,,0.0,0.6,0.0,0.0,0.0,0.0,2.0,25592.0,2.0,4.2,0.0,8.8,9.0,2.0,1.0,0.0,1.0,1.0,2.0,78053.0,0.0,28.0,6.0,50.0,547.0
101,8th,77.70%,7490,Elementary School,FY19,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,18709.0,9.0,5.8,1.0,18.8,18.0,1.0,1.0,0.0,1.0,1.0,6.0,41623.0,3.0,20.4,6.0,57.4,532.0
102,8th,81.47%,6220,Elementary School,FY19,,0.0,0.4,0.0,0.0,0.0,0.0,3.0,12587.0,4.0,4.0,0.0,11.4,9.0,0.6,2.0,0.0,1.0,1.0,2.0,144668.0,0.0,15.2,5.0,35.8,375.0
103,1st,82.81%,5550,High School,FY19,,0.0,3.6,0.0,1.0,0.2,0.0,2.0,8664.0,0.0,0.0,0.0,6.7,5.0,1.4,1.0,0.0,1.9,1.0,0.0,262620.0,0.0,21.6,6.0,37.9,442.0
104,10th,26.69%,8430,K‐8 School,FY19,,0.0,0.1,0.0,0.0,0.0,0.0,0.0,78789.0,3.0,4.0,0.0,7.1,17.0,1.1,1.0,0.0,2.0,2.0,7.0,81703.0,0.0,35.6,10.0,75.7,822.0
105,3rd,69.26%,1050,High School,FY19,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13670.0,0.0,1.4,0.0,2.4,0.0,0.0,1.0,0.0,1.0,1.0,2.0,17198.0,0.0,14.1,2.0,21.1,269.0
106,9th,77.85%,5610,High School,FY19,,0.0,0.7,0.0,1.0,0.0,0.0,2.0,4067.0,0.0,0.0,0.0,3.7,0.0,0.3,1.0,0.0,2.0,1.0,0.0,53595.0,0.0,17.2,2.0,23.5,360.0
107,2nd,80.91%,1400,Elementary School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30987.0,3.0,9.2,0.0,15.2,2.0,1.0,1.0,0.0,1.0,1.0,2.0,87353.0,0.0,20.7,3.0,31.7,526.0
108,10th,49.06%,8770,K‐8 School,FY19,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82775.0,0.0,4.2,0.0,5.2,28.0,13.0,2.6,0.0,2.0,2.0,6.0,147384.0,0.0,34.7,18.0,106.3,766.0
109,5th,81.82%,4140,High School,FY19,,0.0,0.0,0.0,0.6,1.0,0.0,2.0,119956.0,0.0,2.0,0.0,5.6,13.0,4.0,1.0,0.4,2.0,1.0,4.0,134118.0,0.0,13.2,9.0,47.6,300.0
110,5th,61.38%,2290,High School,FY19,,0.0,2.2,0.0,0.0,0.0,0.0,9.0,7927.0,0.0,0.3,0.0,11.6,2.0,0.4,1.0,0.0,2.0,1.0,0.0,220650.0,0.0,50.6,2.0,58.9,881.0
111,9th,71.78%,7260,Elementary School,FY19,,0.9,0.0,0.0,0.0,0.0,0.0,4.0,35734.0,0.0,3.2,0.0,8.1,2.1,2.0,1.0,0.0,1.0,1.0,0.0,46977.0,0.0,12.2,4.0,23.3,264.0
112,7th,85.53%,7380,Elementary School,FY19,,0.0,0.2,0.0,0.0,0.0,0.0,3.0,220781.0,8.0,8.0,0.0,19.2,2.0,1.4,1.0,0.0,2.0,1.0,6.0,87438.0,0.0,28.2,3.0,44.6,621.0
113,2nd,86.23%,2370,K‐8 School,FY19,,0.0,2.0,0.0,0.0,0.0,0.0,7.0,35159.0,3.0,5.8,0.0,17.8,5.0,1.0,2.0,1.0,3.0,2.0,1.0,161208.0,0.0,19.7,4.0,38.7,347.0
114,1st,72.92%,2720,K‐8 School,FY19,,0.0,1.2,0.0,0.0,0.0,0.0,0.0,7048.0,3.0,2.8,0.0,7.0,13.0,1.2,1.0,0.0,1.0,1.0,4.0,58433.0,2.0,22.8,7.0,53.0,383.0
115,10th,54.97%,8090,High School,FY19,,0.0,1.9,0.0,0.0,1.0,0.0,0.0,15418.0,0.0,5.0,0.0,7.9,6.0,0.3,1.0,0.0,1.0,1.0,6.0,152103.0,0.0,36.3,9.0,60.6,706.0
116,4th,87.27%,1200,K‐8 School,FY19,,0.0,1.0,0.0,0.3,1.0,0.0,4.0,280112.0,6.0,7.8,0.0,20.1,10.0,3.0,1.0,1.7,1.0,2.0,2.0,68393.0,0.0,26.3,7.0,54.0,601.0
117,7th,88.57%,5440,Elementary School,FY19,,0.0,2.2,0.0,0.0,0.0,0.0,1.4,13697.0,0.0,11.0,0.0,14.6,12.0,2.2,1.0,0.0,1.0,1.0,5.6,51818.0,0.0,28.8,6.0,57.6,717.0
118,5th,84.12%,2490,K‐8 School,FY19,,0.0,1.0,0.0,0.4,0.0,0.0,1.0,8684.0,4.0,4.2,0.0,10.6,6.0,0.0,1.0,0.7,1.0,1.0,3.0,122243.0,1.0,12.2,5.0,30.9,275.0
119,7th,75.22%,7460,K‐8 School,FY19,,0.0,2.2,0.0,0.0,0.0,0.0,2.0,28793.0,4.0,3.4,0.0,11.6,11.0,1.2,1.0,0.0,1.0,1.0,4.0,79873.0,0.0,24.8,8.0,52.0,554.0
120,6th,78.27%,8200,K‐8 School,FY19,,0.0,0.5,0.0,1.0,2.0,0.0,0.0,50941.0,5.0,5.7,0.0,14.2,7.0,2.7,1.2,0.0,1.0,2.0,8.0,179618.0,1.0,45.0,7.0,74.9,989.0
121,5th,82.88%,4060,High School,FY19,,0.0,0.0,0.0,0.7,1.0,0.0,0.0,103211.0,0.0,6.6,0.0,8.3,2.0,1.0,1.0,1.1,2.0,1.0,5.0,52948.0,0.0,37.8,5.0,55.9,751.0
122,4th,48.20%,6410,K‐8 School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12382.0,1.0,3.0,0.0,4.0,12.0,1.0,1.0,0.0,1.0,1.0,4.0,79613.0,0.0,20.4,7.0,47.4,470.0
123,4th,57.14%,6040,High School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2982.0,2.0,0.7,0.0,6.7,3.0,2.0,1.0,3.0,1.0,1.0,0.0,107425.0,0.0,25.3,3.0,39.3,498.0
124,7th,84.69%,7360,Elementary School,FY19,,0.0,0.8,0.0,0.0,1.0,0.0,5.0,189433.0,0.0,2.0,0.0,8.8,16.0,4.2,2.0,0.0,1.0,1.0,0.0,69043.0,0.0,21.2,7.0,52.4,352.0
125,5th,84.09%,5560,K‐8 School,FY19,,0.0,1.1,0.0,0.0,0.0,0.0,3.0,20658.0,1.0,2.1,0.0,7.2,0.0,0.1,1.0,0.2,1.0,1.0,1.0,137003.0,0.0,14.1,1.0,19.4,248.0
126,10th,53.67%,8400,Elementary School,FY19,,0.0,0.9,0.0,0.0,0.0,0.0,7.0,18582.0,0.0,11.0,0.0,18.9,3.0,2.3,1.4,0.0,3.0,2.0,6.0,164034.0,2.0,56.4,4.0,80.1,1355.0
127,5th,82.40%,5480,K‐8 School,FY19,,0.0,0.0,0.0,1.0,0.0,0.0,3.6,5194.0,1.0,3.0,0.0,8.6,10.0,1.0,1.0,0.0,1.0,1.0,1.4,71913.0,0.0,15.8,5.0,36.2,289.0
128,7th,80.96%,7110,Middle School,FY19,,0.0,2.1,0.0,1.0,0.0,0.0,5.0,95107.0,0.0,3.0,0.0,11.1,19.0,3.1,1.0,0.0,3.0,1.0,6.0,138403.0,0.0,39.2,15.0,87.3,788.0
129,2nd,78.76%,2450,K‐8 School,FY19,,0.0,0.6,0.0,0.0,0.0,0.0,0.0,5113.0,0.0,4.6,0.0,5.2,5.0,0.4,2.0,0.0,1.0,1.0,3.0,46813.0,0.0,11.9,3.0,27.3,254.0
130,9th,63.97%,6210,K‐8 School,FY19,,0.0,0.0,0.0,0.0,1.0,0.0,6.0,7941.0,0.0,4.0,0.0,11.0,8.0,1.0,1.0,0.0,1.0,1.0,2.0,49753.0,1.0,27.4,8.0,50.4,658.0
131,1st,70.72%,2000,High School,FY19,,0.0,2.1,0.0,1.6,1.0,0.0,2.0,1822.0,0.0,4.8,0.0,11.5,20.0,2.1,1.0,0.2,1.0,1.0,0.0,38298.0,0.0,31.7,16.0,73.0,563.0
132,1st,44.20%,2340,K‐8 School,FY19,,0.0,0.6,0.0,0.0,0.0,0.0,6.0,9006.0,0.0,4.0,0.0,10.6,9.0,1.8,1.0,0.2,1.0,1.0,0.0,132853.0,0.0,36.4,4.0,54.4,749.0
133,5th,75.46%,5620,High School,FY19,,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3283.0,0.0,0.2,0.0,3.2,0.0,0.0,1.0,0.5,2.0,1.0,0.0,18120.0,0.0,13.8,2.0,20.3,293.0
134,9th,67.48%,8310,Elementary School,FY19,,0.0,1.7,0.0,0.0,0.0,0.0,12.0,110242.0,0.0,9.2,0.0,22.9,9.0,2.1,1.2,0.0,2.0,2.0,0.0,295634.0,2.0,49.2,9.0,76.5,1191.0
135,7th,86.13%,5390,K‐8 School,FY19,,0.0,0.2,0.0,0.0,1.0,0.0,0.0,243546.0,0.0,7.5,0.0,8.7,1.0,3.2,1.0,0.0,1.0,1.0,6.0,82543.0,0.0,28.2,4.0,45.4,524.0
136,8th,81.82%,6300,Elementary School,FY19,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25274.0,1.0,4.2,0.0,7.2,9.0,1.0,1.0,0.0,1.0,1.0,3.0,69713.0,1.0,14.6,5.0,36.6,346.0
137,1st,81.55%,2540,Elementary School,FY19,,0.0,0.5,0.0,1.0,0.0,0.0,3.0,31361.0,2.0,5.4,0.0,11.9,1.0,1.7,1.0,0.0,1.0,1.0,1.0,120303.0,0.0,24.8,2.0,33.5,452.0
138,1st,86.31%,5590,Elementary School,FY19,,0.0,0.2,0.0,1.0,0.0,0.0,8.0,14933.0,4.0,12.7,0.0,25.9,16.0,2.4,1.0,0.2,2.0,1.0,0.0,96278.0,0.0,32.0,8.0,62.5,795.0
139,4th,68.75%,4320,K‐8 School,FY19,,0.0,0.6,0.0,0.0,1.0,0.0,4.0,8785.0,0.0,3.2,0.0,8.8,18.0,0.4,1.0,1.0,1.0,1.0,2.0,28168.0,0.0,29.0,11.0,64.4,623.0
140,6th,67.68%,8140,Middle School,FY19,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28661.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,7.0,47353.0,0.0,29.9,8.0,51.9,614.0
141,3rd,83.17%,1230,K‐8 School,FY19,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,159644.0,2.0,6.2,0.0,12.2,3.0,4.0,1.0,1.0,1.0,1.0,4.0,112008.0,0.0,21.1,2.0,38.1,421.0
142,7th,80.49%,5020,High School,FY19,,0.0,1.2,0.0,0.0,1.1,0.0,8.0,479192.0,0.0,7.0,0.0,17.2,20.0,5.2,1.6,1.2,2.9,2.0,0.0,207850.0,2.0,57.3,23.0,115.3,1055.0
143,7th,86.25%,5470,Elementary School,FY19,,0.0,1.3,0.0,1.0,0.0,0.0,5.0,42492.0,5.0,4.6,0.0,16.9,5.0,0.5,1.0,0.0,2.0,1.0,0.0,138278.0,0.0,21.6,5.0,36.1,469.0
144,9th,52.80%,6460,Middle Secondary,FY19,,0.0,1.5,0.0,0.0,0.0,0.0,3.0,4358.0,0.0,0.0,0.0,4.5,30.0,0.5,1.2,0.0,2.0,1.0,0.0,159906.0,0.0,33.8,20.0,88.5,679.0
145,1st,61.60%,2670,High School,FY19,,0.0,0.3,0.0,0.0,0.0,0.0,0.0,32334.0,0.0,1.2,0.0,1.5,4.0,0.9,1.0,0.0,1.0,1.0,1.0,90953.0,0.0,17.0,2.0,27.9,396.0
146,4th,66.61%,6030,High School,FY19,,0.0,1.6,0.0,0.0,0.0,0.0,5.0,12667.0,0.0,8.4,0.3,15.3,21.0,1.4,1.1,0.0,2.0,1.0,0.0,78513.0,0.0,29.9,15.8,72.2,686.0
147,6th,78.65%,7330,Elementary School,FY19,,0.0,1.2,0.0,0.0,1.0,0.0,13.0,48224.0,5.0,5.0,1.0,26.2,15.0,1.2,2.0,0.0,1.0,1.0,9.0,70668.0,0.0,30.3,13.0,72.5,791.0
148,6th,70.15%,8270,Elementary School,FY19,,0.0,0.1,0.0,0.0,0.0,0.0,4.0,77723.0,8.0,5.2,0.0,17.3,19.0,1.1,1.0,0.0,1.0,1.0,0.0,64783.0,2.0,26.7,8.0,59.8,610.0
149,5th,86.67%,4440,K‐8 School,FY19,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,216214.0,4.0,5.3,0.0,12.3,3.0,3.0,1.0,0.0,1.0,1.0,5.0,30188.0,0.0,23.0,3.0,40.0,391.0
150,3rd,79.77%,1100,High School,FY19,,0.0,0.5,0.0,0.0,1.0,0.0,1.0,42432.0,0.0,6.8,0.0,9.3,21.0,1.5,1.0,1.0,1.0,1.0,2.0,43972.0,0.0,17.2,13.0,58.7,399.0
151,10th,53.69%,8390,K‐8 School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31953.0,7.0,5.2,0.0,12.2,12.0,1.0,1.0,0.0,2.0,1.0,10.0,102908.0,5.0,32.8,8.0,72.8,791.0
152,1st,77.35%,2190,K‐8 School,FY19,,0.0,1.6,0.0,0.0,0.0,0.0,5.0,65933.0,4.0,2.4,0.0,13.0,9.0,1.0,1.0,0.0,1.0,1.0,1.0,128423.0,0.0,28.0,5.0,47.0,576.0
153,4th,48.16%,6380,K‐8 School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62715.0,0.0,2.8,0.0,2.8,22.0,3.0,1.0,0.0,1.0,1.0,6.0,54058.0,0.0,22.2,6.0,62.2,493.0
154,9th,77.47%,7530,Elementary School,FY19,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13346.0,5.0,5.2,0.0,11.2,6.0,1.0,1.0,0.0,1.0,1.0,5.0,51858.0,0.0,17.4,4.0,36.4,441.0
155,8th,62.95%,6260,K‐8 School,FY19,,0.0,1.8,0.0,1.0,0.0,0.0,2.8,6395.0,0.0,3.2,0.0,8.8,9.0,0.2,1.0,0.0,1.0,1.0,0.2,57853.0,3.0,18.9,9.0,43.3,381.0
156,3rd,83.21%,1350,K‐8 School,FY19,,0.0,1.0,0.0,1.0,0.0,0.0,6.6,20259.0,3.0,3.0,0.0,14.6,8.0,0.0,1.0,0.0,1.0,1.0,1.4,155758.0,3.0,19.1,6.0,40.5,373.0
157,4th,73.02%,4240,Elementary School,FY19,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5276.0,0.0,3.2,0.0,5.2,11.0,1.0,1.0,0.0,1.0,1.0,4.0,26953.0,1.0,17.4,7.0,44.4,370.0
158,10th,59.23%,8020,High School,FY19,,0.0,2.2,0.0,2.6,3.0,0.0,0.0,104330.0,0.0,6.2,1.0,15.0,16.0,8.2,3.0,0.0,4.0,4.0,15.0,674271.0,0.0,154.7,18.0,222.9,3411.0
159,7th,86.96%,8470,Middle Secondary,FY19,,0.0,0.8,0.0,0.0,0.0,0.0,0.0,2039.0,0.0,0.0,0.0,0.8,0.0,0.2,0.3,1.0,1.0,1.0,2.0,132117.0,0.0,9.2,5.0,19.7,85.0
160,5th,51.38%,5200,K‐8 School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5784.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,56033.0,0.0,19.4,4.0,29.4,398.0
161,2nd,73.48%,1010,High School,FY19,,0.0,2.7,0.0,3.0,0.7,0.0,5.0,33074.0,0.0,0.8,0.0,12.2,15.0,0.3,1.0,1.4,2.3,1.0,0.0,323625.0,0.0,26.4,13.0,60.4,537.0
162,2nd,69.54%,1440,K‐8 School,FY19,,0.0,0.5,0.0,1.0,0.0,0.0,6.0,6162.0,0.0,3.6,0.0,11.1,26.0,0.5,1.0,1.0,2.0,1.0,1.0,106603.0,0.0,21.5,13.0,67.0,472.0
163,10th,67.57%,8360,Elementary School,FY19,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,87635.0,6.0,5.0,0.0,11.5,4.0,1.7,1.0,0.0,1.0,1.0,4.0,133763.0,0.0,27.4,3.0,43.1,632.0
164,4th,44.47%,2680,Middle Secondary,FY19,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3668.0,0.0,1.3,0.0,2.3,5.0,1.0,1.0,1.0,1.0,0.0,2.0,79867.0,0.0,25.2,3.0,39.2,552.0
165,9th,76.28%,7220,Elementary School,FY19,,0.0,0.3,0.0,1.0,1.0,0.0,5.0,30178.0,4.0,10.2,0.0,21.5,13.0,2.5,2.1,0.0,2.0,1.0,1.0,111323.0,1.0,38.5,8.0,69.1,940.0
166,3rd,70.17%,8560,High School,FY19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4672.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,170148.0,1.0,13.0,2.0,22.0,239.0
167,4th,84.88%,4350,K‐8 School,FY19,,0.0,0.0,0.0,2.6,1.0,0.0,3.5,213780.0,0.0,3.2,0.0,10.3,12.0,2.4,1.0,1.0,1.0,1.0,3.5,43339.0,0.0,28.1,9.0,59.0,534.0
168,5th,75.60%,5050,High School,FY19,,0.0,0.1,0.0,0.0,0.0,0.0,3.8,3198.0,0.0,4.0,0.0,7.9,0.0,1.1,1.0,0.2,1.0,1.0,0.2,127888.0,0.0,13.8,2.0,20.3,309.0
169,1st,83.92%,5400,Elementary School,FY19,,0.0,0.1,0.0,1.0,0.0,0.0,6.0,62178.0,0.0,8.4,0.0,15.5,7.0,1.1,1.0,0.0,1.0,2.0,0.0,92148.0,0.0,23.8,6.0,41.9,591.0
170,1st,66.42%,2160,High School,FY19,,0.0,2.8,0.0,1.0,0.0,0.0,0.0,17119.0,2.0,3.5,0.0,9.3,5.0,4.0,1.0,0.0,2.0,1.0,4.0,120683.0,0.0,34.7,8.0,59.7,662.0
171,9th,63.15%,6310,K‐8 School,FY19,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,5928.0,0.0,3.4,0.0,10.4,5.0,1.0,2.0,0.0,1.0,1.0,1.0,103573.0,0.0,18.9,6.0,35.9,418.0
172,7th,87.05%,7440,Elementary School,FY19,,0.0,2.2,0.0,1.0,0.0,0.0,6.6,54921.0,1.0,6.8,0.0,17.6,5.0,0.4,1.0,0.0,2.0,1.0,3.4,80113.0,5.0,29.4,6.0,53.2,562.0
